mon,app,amt,acct,typ,num,vendor
Apr,Claude,22.18,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,22.16,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,22.12,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,22.11,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,22.09,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,22.08,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,22.05,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,22.03,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.97,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.96,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.93,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.93,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.92,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.91,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.91,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.87,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.84,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.83,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.8,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.79,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.78,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.78,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,Claude,21.78,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Apr,ChatGPT,21.78,96100,Expense,,OPENAI *CHATGPT SUBSSAN FRANCISCO CA
Apr,Dropbox,21.77,96100,Expense,,DROPBOX*MSMV5FJS9NF9SAN FRANCISCO CA
Apr,Dropbox,21.76,96100,Expense,,DROPBOX*N33J4TXT2747SAN FRANCISCO CA
Apr,Claude,21.25,96100,Expense,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO CA
Apr,Perplexity AI,21.25,96100,Expense,,WWW.PERPLEXITY.AI SAN FRANCISCO CA
Apr,Adobe,19.99,96100,Expense,,ADOBE ADOBE SYSTEMS SAN JOSE CA
Apr,Salesforce - Tableau Cloud,18.74,96100,Journal Entry,prepaid04.26,TABLEAU CLOUD
Apr,Claude,17.77,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,DNSimple,17.0,96100,Expense,,DNSIMPLE MELBOURNE FL
Apr,DNSimple,17.0,96100,Expense,,DNSIMPLE MELBOURNE FL
Apr,Claude,16.5,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Calendly,16.33,96100,Expense,,CALENDLY BUFORD GA
Apr,Lovable,16.33,96100,Expense,,LOVABLE DOVER DE
Apr,DNSimple,15.5,96100,Expense,,DNSIMPLE MELBOURNE FL
Apr,DNSimple,15.5,96100,Expense,,DNSIMPLE MELBOURNE FL
Apr,DNSimple,15.5,96100,Expense,,DNSIMPLE MELBOURNE FL
Apr,DNSimple,15.5,96100,Expense,,DNSIMPLE MELBOURNE FL
Apr,Claude,14.26,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Microsoft,14.14,96100,Expense,,MICROSOFT MSBILL.INFO
Apr,Claude,13.17,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,12.61,96100,Expense,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO CA
Apr,Claude,12.42,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Microsoft,10.85,96100,Expense,,MICROSOFT MSBILL.INFO
Apr,Claude,9.0,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,8.35,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,8.12,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,6.47,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,6.35,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,6.34,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,DigitalOcean,6.0,96100,Expense,,DIGITALOCEAN.COM BROOMFIELD CO
Apr,GitHub,4.36,96100,Expense,,"GITHUB, INC. SAN FRANCISCO CA"
Apr,Claude,2.8,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Claude,1.79,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Apr,Zendesk,1.02,96100,Expense,,ZENDESK - US SAN FRANCISCO CA
Apr,Lovable,1.0,96100,Expense,,LOVABLE DOVER DE
Apr,Microsoft,0.29,96100,Expense,,MICROSOFT MSBILL.INFO
