mon,app,amt,acct,typ,num,vendor
Mar,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Mar,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Mar,Zendesk,1840.72,96100,Journal Entry,prepaid03.26,ZENDESK - US SAN FRANCISCO CA
Mar,Salesforce - Slack Internal,1529.01,55000,Journal Entry,prepaid03.26,"SALESFORCE, INC. SLACK BUSINESS PLUS"
Mar,Sentry,1474.18,96100,Expense,,SENTRY SAN FRANCISCO CA
Mar,Mailchimp,1469.81,55000,Expense,,MAILCHIMP LLC ATLANTA GA
Mar,Pearson VUE (Exam Vouchers),1450.42,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Mar,Greenhouse,1421.78,96100,Journal Entry,prepaid03.26,"GREENHOUSE SOFTWARE, INC."
Mar,Pearson VUE (Exam Vouchers),1382.33,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 9122
Mar,Outreach,1367.33,81000,Journal Entry,prepaid03.26,BLS*OUTREACH CORPORASEATTLE WA BLS*OUTREACH CORPORASEATTLE WA
Mar,ChatGPT,1352.09,96100,Expense,,OPENAI *CHATGPT SUBSSAN FRANCISCO CA
Mar,Accredible,1306.67,55000,Journal Entry,prepaid03.26,ACCREDIBLE - 8247 ACCREDIBLE - 8247
Mar,ApprentiScope,1300.86,96100,Expense,,APPRENTISCOPE - 9122
Mar,Google Workspace,1244.84,96100,Expense,,GOOGLE*SVCSCORRELATICC GOOGLE.COM
Mar,CompTIA,1222.83,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,Claude,1197.63,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Hook Security,1176.0,96100,Expense,,HOOK SECURITY INC. - 9122
Mar,Carta,1043.39,96100,Journal Entry,prepaid03.26,CARTA (ESHARES) SAN FRANCISCO CA CARTA (ESHARES) SAN FRANCISCO CA
Mar,MindHub,1026.09,55000,Journal Entry,prepaid03.26,WL *NCS*MINDHUB.COM - 9122
Mar,Notion,993.27,96100,Journal Entry,prepaid03.26,"NOTION LABS, INC. SAN FRANCISCO CA"
Mar,LinkedIn Sales Navigator,974.01,81000,Journal Entry,prepaid03.26,LINKEDIN SALES NAVIGATOR LINKEDINXXXXXXXXXXXX - 9122
Mar,Zendesk,865.87,96100,Expense,,ZENDESK - US SAN FRANCISCO CA
Mar,Salesforce - Tableau Cloud,827.45,96100,Journal Entry,prepaid03.26,TABLEAU CLOUD SALESFORCE.COM SERVICE - 9122
Mar,Atlassian,820.81,96100,Expense,,ATLASSIAN SAN FRANCISCO CA
Mar,Pearson VUE (Exam Vouchers),816.5,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 9122
Mar,BambooHR,781.8,96100,Journal Entry,prepaid03.26,BAMBOOHR HRIS 866-387-9595 UT
Mar,Profound,750.0,81000,Journal Entry,prepaid03.26,PROFOUND
Mar,GitHub,654.97,96100,Expense,,"GITHUB, INC. SAN FRANCISCO CA"
Mar,Culture Amp,642.23,96100,Journal Entry,prepaid03.26,CULTURE AMP INC
Mar,Workforce,600.0,96100,Expense,,WORKFORCE CLOUD TECHNEWARK DE
Mar,Pumble,570.45,96100,Expense,,CAKE.COM - 9122
Mar,Cursor,566.15,96100,Expense,,"CURSOR, AI POWERED INEW YORK NY"
Mar,Zendesk,-555.92,96100,Journal Entry,prepaid03.26,ZENDESK - US SAN FRANCISCO CA
Mar,CompTIA,531.67,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,Adobe,530.33,96100,Expense,,ADOBE ADOBE INC - 9122
Mar,Pumble,526.99,96100,Expense,,CAKE.COM - 9122
Mar,Adobe,484.92,96100,Expense,,ADOBE ADOBE SYSTEMS SAN JOSE CA
Mar,PayPal,453.71,55000,Journal Entry,prepaid03.26,PAYPAL *ISQI INC - 8247 PAYPAL *ISQI INC - 8247
Mar,Yesware,440.94,96100,Journal Entry,prepaid03.26,YESWARE SERVICE 855-937-9273 MA
Mar,Zendesk,424.47,96100,Expense,,ZENDESK - US SAN FRANCISCO CA
Mar,Squadcast,393.04,96100,Expense,,"SQUADCAST, INC. SAN FRANCISCO CA"
Mar,LaunchDarkly,381.06,96100,Expense,,LAUNCHDARKLY SEAT PAOAKLAND CA
Mar,Airtable,352.76,96100,Expense,,AIRTABLE.COM/BILL SAN FRANCISCO CA
Mar,Microsoft,350.32,96100,Expense,,A1010BUSD01 MSBILL.INFO
Mar,Worksuite,328.12,96100,Journal Entry,prepaid03.26,WORKSUITE INC.
Mar,Pearson VUE (Exam Vouchers),319.0,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 9122
Mar,CompTIA,272.56,55000,Journal Entry,prepaid03.26,VUECOMPTIA CERTIFICA800-511-3478 MN VUECOMPTIA CERTIFICA800-511-3478 MN
Mar,MindHub,271.97,55000,Journal Entry,prepaid03.26,WL *NCS*MINDHUB.COM - 8247 WL *NCS*MINDHUB.COM - 8247
Mar,MindHub,271.97,55000,Journal Entry,prepaid03.26,WL *NCS*MINDHUB.COM - 8247 WL *NCS*MINDHUB.COM - 8247
Mar,CompTIA,265.83,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,Tremendous,257.5,81000,Expense,,TREMENDOUS.COM 877-319-4438 CA
Mar,MindHub,248.28,55000,Journal Entry,prepaid03.26,WL *NCS*MINDHUB.COM - 8247 WL *NCS*MINDHUB.COM - 8247
Mar,Microsoft,240.1,96100,Expense,,MICROSOFT MSBILL.INFO
Mar,Refiner,219.0,96100,Journal Entry,prepaid03.26,REFINER.IO PARIS
Mar,Claude,217.75,96100,Expense,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO CA
Mar,CompTIA,212.67,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,DeepSource,210.0,96100,Expense,,DEEPSOURCE SAN FRANCISCO CA
Mar,Artillery,199.0,96100,Expense,,ARTILLERY.IO NEW YORK NY
Mar,Lovable,195.98,96100,Expense,,LOVABLE DOVER DE
Mar,Hex,195.98,96100,Expense,,HEX.TECH - 9122
Mar,Salesforce - Sales Cloud Enterprise,195.5,81000,Journal Entry,prepaid03.26,"SALESFORCE, INC. SALES CLOUD ENTERPRISE"
Mar,Twilio,186.8,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Pearson VUE (Exam Vouchers),159.75,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 9122
Mar,Gamma,154.63,96100,Expense,,GAMMA.APP SAN FRANCISCO CA
Mar,Tremendous,154.5,81000,Expense,,TREMENDOUS.COM 877-319-4438 CA
Mar,Figma,153.2,96100,Expense,,FIGMA SAN FRANCISCO CA
Mar,Gamma,153.13,96100,Expense,,GAMMA.APP SAN FRANCISCO CA
Mar,LinkedIn Sales Navigator,151.51,81000,Journal Entry,prepaid03.26,LINKEDIN SALES NAVIGATOR
Mar,Twilio,143.82,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Cursor,131.35,96100,Expense,,CURSOR USAGE FEB NEW YORK NY
Mar,CoderPad,130.65,96100,Expense,,CODERPAD INTERVIEWINSAN FRANCISCO CA
Mar,Twilio,129.4,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,QuickBooks,125.21,96100,Expense,,QUICKBOOKS PAYMENTS INTUIT *QBOOKS ONLINE - 9122
Mar,Twilio,124.42,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Salesforce - Tableau Cloud,123.03,96100,Journal Entry,prepaid03.26,TABLEAU CLOUD SALESFORCE.COM SERVICE - 9122
Mar,Twilio,120.39,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Twilio,120.2,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Microsoft,119.08,96100,Expense,,MICROSOFT MSBILL.INFO
Mar,Twilio,112.46,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Salesforce - Tableau Cloud,110.74,96100,Journal Entry,prepaid03.26,TABLEAU CLOUD SALESFORCE.COM SERVICE - 9122
Mar,ChatGPT,108.88,96100,Expense,,OPENAI SAN FRANCISCO CA
Mar,Geocode,100.0,96100,Expense,,GEOCODE.EARTH NEW YORK NY
Mar,Twilio,94.7,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Twilio,93.41,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Twilio,93.2,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Claude,92.5,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Twilio,91.68,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Twilio,91.23,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Salesforce - Tableau Cloud,91.2,96100,Journal Entry,prepaid03.26,TABLEAU CLOUD SALESFORCE.COM SERVICE - 9122
Mar,Twilio,90.76,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Twilio,90.39,96100,Expense,,TWILIO INC SAN FRANCISCO CA
Mar,Mailgun,87.1,96100,Expense,,SINCH MAILGUN SAN ANTONIO TX
Mar,Tango,84.92,96100,Expense,,WWW.TANGO.AI SAN FRANCISCO CA
Mar,PayPal,77.47,55000,Journal Entry,prepaid03.26,PAYPAL *ISQI INC - 8247 PAYPAL *ISQI INC - 8247
Mar,Adobe,76.2,96100,Expense,,ADOBE SYSTEMS ADOBE SAN JOSE CA
Mar,Lovable,68.15,96100,Expense,,LOVABLE DOVER DE
Mar,Tremendous,66.95,81000,Expense,,TREMENDOUS.COM 877-319-4438 CA
Mar,DNSimple,66.0,96100,Expense,,DNSIMPLE MELBOURNE FL
Mar,Lovable,65.32,96100,Expense,,LOVABLE DOVER DE
Mar,Lovable,65.32,96100,Expense,,LOVABLE DOVER DE
Mar,Stape,54.44,96100,Expense,,"STAPE, INC. DOVER DE"
Mar,Lovable,54.44,96100,Expense,,LOVABLE DOVER DE
Mar,Amazon Web Services,50.44,53000,Expense,,AMAZON WEB SERVICES AWS.AMAZON.COM WA
Mar,Fal,50.0,96100,Expense,,FAL FEATURES LABELS SAN FRANCISCO CA
Mar,Lovable,49.0,96100,Expense,,LOVABLE DOVER DE
Mar,HubSpot,48.99,96100,Journal Entry,prepaid03.26,"HUBSPOT INC. CAMBRIDGE, MASSACHUSMA"
Mar,Claude,47.61,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,40.09,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Vercel,40.0,96100,Expense,,VERCEL INC. COVINA CA
Mar,PlusDocs,40.0,96100,Expense,,PLUS DOCS INC. WILMINGTON DE
Mar,Microsoft,33.47,96100,Expense,,MICROSOFT#G147441211MSBILL.INFO WA
Mar,Claude,33.1,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Lovable,32.66,96100,Expense,,LOVABLE DOVER DE
Mar,Lovable,32.66,96100,Expense,,LOVABLE DOVER DE
Mar,Resume IO,32.61,96100,Expense,,IMKEY B.V. NEW YORK CITY NY
Mar,Resume IO,32.61,96100,Expense,,IMKEY B.V. NEW YORK CITY NY
Mar,Claude,31.97,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Zapier,29.99,96100,Expense,,ZAPIER.COM/CHARGE SAN FRANCISCO CA
Mar,Resume IO,29.95,96100,Expense,,IMKEY BV BREDA NL
Mar,Paddle,27.22,96100,Expense,,PADDLE.NET* EASYRETRASTORIA NY
Mar,Claude,26.71,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,26.7,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,26.7,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,26.63,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,26.63,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,CompTIA,26.58,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,CompTIA,26.58,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,CompTIA,26.58,55000,Journal Entry,prepaid03.26,"COMPTIA, INC. - 9122"
Mar,Claude,26.51,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,26.42,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,25.66,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,25.38,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,24.89,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,24.8,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,24.8,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,24.67,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,24.66,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,24.66,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,24.48,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,24.01,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Squarespace,24.0,96100,Expense,,SQSP* DOMAIN#2278332NEW YORK NY
Mar,Dmarcian,24.0,96100,Expense,,"DMARCIAN* DMARCIAN, BREVARD NC"
Mar,Claude,23.9,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,23.69,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,23.66,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,23.43,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,23.42,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,23.06,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.98,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.54,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.38,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.26,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.19,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.18,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.16,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.13,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.12,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.09,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,22.05,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,21.96,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,21.83,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,21.81,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,21.8,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,21.79,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,21.78,96100,Expense,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO CA
Mar,ChatGPT,21.78,96100,Expense,,OPENAI *CHATGPT SUBSSAN FRANCISCO CA
Mar,Dropbox,21.77,96100,Expense,,DROPBOX*GRJY96V7BKJPSAN FRANCISCO CA
Mar,Dropbox,21.76,96100,Expense,,DROPBOX*DH3XBSPM1XXFSAN FRANCISCO CA
Mar,Claude,21.27,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Perplexity AI,21.25,96100,Expense,,WWW.PERPLEXITY.AI SAN FRANCISCO CA
Mar,Claude,21.25,96100,Expense,,CLAUDE.AI SUBSCRIPTISAN FRANCISCO CA
Mar,Claude,20.59,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,20.32,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Adobe,19.99,96100,Expense,,ADOBE ADOBE SYSTEMS SAN JOSE CA
Mar,Salesforce - Tableau Cloud,18.74,96100,Journal Entry,prepaid03.26,TABLEAU CLOUD SALESFORCE.COM SERVICE - 9122
Mar,Pearson VUE (Exam Vouchers),17.8,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Mar,Claude,17.5,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,17.38,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Calendly,16.33,96100,Expense,,CALENDLY BUFORD GA
Mar,DNSimple,15.5,96100,Expense,,DNSIMPLE MELBOURNE FL
Mar,Microsoft,14.14,96100,Expense,,MICROSOFT MSBILL.INFO
Mar,Claude,13.64,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,13.63,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,12.96,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,12.82,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,12.69,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,10.87,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Microsoft,10.85,96100,Expense,,MICROSOFT MSBILL.INFO
Mar,Claude,7.05,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,7.01,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,7.01,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,7.0,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,DigitalOcean,6.0,96100,Expense,,DIGITALOCEAN.COM BROOMFIELD CO
Mar,Claude,5.84,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,5.83,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,5.82,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,5.44,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Lovable,5.44,96100,Expense,,LOVABLE DOVER DE
Mar,Claude,5.44,96100,Expense,,ANTHROPIC SAN FRANCISCO CA
Mar,Claude,5.01,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,GitHub,4.36,96100,Expense,,"GITHUB, INC. SAN FRANCISCO CA"
Mar,Claude,3.98,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,3.97,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,3.25,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Resume IO,3.21,96100,Expense,,IMKEY B.V. NEW YORK CITY NY
Mar,Resume IO,3.21,96100,Expense,,IMKEY B.V. NEW YORK CITY NY
Mar,Claude,3.08,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Claude,2.97,96100,Expense,,ANTHROPIC: CLAUDE TESAN FRANCISCO CA
Mar,Track1099,2.57,96100,Expense,,TRACK1099.COM - 9122
Mar,Microsoft,1.23,96100,Expense,,MICROSOFT MSBILL.INFO
Mar,Pumble,1.14,96100,Expense,,CAKE.COM - 9122
Mar,Zendesk,1.0,96100,Expense,,ZENDESK - US SAN FRANCISCO CA
